file_path,line_number,old_icon_class,new_icon_class
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/FileUpload/FileUpload.xhtml,30,fa-upload,ti-upload
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/FileUpload/FileUpload.xhtml,33,fa-upload,ti-upload
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/FileUpload/FileUpload.xhtml,45,fa-download,ti-download
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/ChatClient/ChatClient.xhtml,58,fa-paper-plane,ti-send
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/ChatClient/ChatClient.xhtml,65,fa-close,ti-x
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/ApprovalDialog/ApprovalDialog.xhtml,28,fa-check,ti-check
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/ApprovalDialog/ApprovalDialog.xhtml,29,fa-remove,ti-x
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/PersonManager/PersonManager.xhtml,28,fa-pencil,ti-pencil
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/PersonManager/PersonManager.xhtml,34,fa-trash,ti-trash
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/PersonManager/PersonManager.xhtml,46,fa-check,ti-check
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/PersonManager/PersonManager.xhtml,70,fa-plus,ti-circle-plus
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/PersonManager/PersonManager.xhtml,77,fa-close,ti-x
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/rest/AsyncUiInvoker/AsyncUiInvoker.xhtml,72,fa-check,ti-check
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/soap/AcceptOrder/AcceptOrder.xhtml,30,fa-check,ti-check
connectivity/connectivity-demos/src_hd/com/axonivy/connectivity/soap/AcceptOrder/AcceptOrder.xhtml,31,fa-check,ti-check
error-handling/error-handling-demos/src_hd/error/handling/demo/RegisterOrder/RegisterOrder.xhtml,34,fa-check,ti-check
